Designator,Mid X,Mid Y,Rotation,Layer
C1,126.1486,-47.6838,270.0,top
C10,121.5258,-42.8702,270.0,top
C12,148.463,-75.692,0.0,top
C13,126.5,-81.895,90.0,top
C14,138.93,-87.75,0.0,top
C15,120.0,-89.432755,90.0,top
C16,130.45,-94.16,270.0,top
C3,124.6246,-47.6838,270.0,top
C4,125.3866,-45.4102,180.0,top
C6,117.144,-40.254,180.0,top
C7,112.0894,-41.9558,180.0,top
C8,123.505,-34.417,180.0,top
C9,117.7056,-46.223,180.0,top
D1,101.826014,-36.48706,0.0,top
D2,110.73,-53.0625,270.0,top
D3,114.7948,-47.493,270.0,top
D4,135.27,-85.52,90.0,top
D5,113.56,-53.07,270.0,top
J1,164.0,-70.725,90.0,top
J11,146.02,-114.83,90.0,top
J3,102.425,-42.54,270.0,top
J6,112.76,-61.3,270.0,top
L2,143.22,-82.47,270.0,top
Q1,115.3282,-43.1496,270.0,top
R1,124.0404,-43.8862,0.0,top
R10,117.9698,-37.9802,270.0,top
R11,148.513,-77.343,0.0,top
R12,131.29,-74.01,180.0,top
R13,131.285,-72.23,0.0,top
R14,138.8,-70.96,0.0,top
R15,131.27,-77.61,180.0,top
R16,131.27,-75.81,180.0,top
R17,130.45,-87.9,270.0,top
R18,138.615,-92.73,0.0,top
R19,148.49,-92.71,0.0,top
R2,105.16,-36.4992,180.0,top
R3,109.0544,-41.9558,0.0,top
R4,109.0544,-47.239,0.0,top
R5,120.015,-37.9045,90.0,top
R6,125.095,-37.592,270.0,top
R7,112.077,-47.239,180.0,top
R8,117.7412,-48.001,180.0,top
R9,117.1956,-35.682,0.0,top
SW1,108.66,-34.06,180.0,top
SW3,119.95,-76.32,90.0,top
SW4,101.66,-32.2,270.0,top
U1,135.413,-42.52,270.0,top
U11,104.02,-52.99,90.0,top
U2,110.413,-44.5974,270.0,top
U3,122.555,-37.592,90.0,top
U4,118.7826,-43.1242,270.0,top
U5,149.18,-83.82,180.0,top
U6,140.96,-75.4773,270.0,top
U7,138.82,-95.28,0.0,top
U8,148.6933,-95.28,0.0,top
